stock_code,stock_name,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change
Q530064,삼성 인버스 2X 구리 선물 ETN(H),4.70,090030,4.7,2675,2690,2460,2410,2445,2560,2665,2630,2440,2515,2555,2525,2650,88320,124094,53762,65442,108723,55470,100792,56078,51688,29016,102316,4,73338.5,102316,0.3951198892805279,-0.0068230675764089825,15,1
Q550072,QV 블룸버그 -2X WTI원유선물 ETN,6.41,090018,6.41,20000,20675,20475,21170,22075,21095,20985,21560,20340,20115,19260,18660,20000,34,2751,191,197,12,21,4976,1496,5451,560,1880,6,1568.9,1880,0.19829179680030595,0.00033252221970182533,675,1
Q550074,QV 블룸버그 2X 천연가스 선물 ETN(H),6.49,090018,6.49,2380,2380,1870,1610,1785,1970,2280,2485,2655,2645,2475,2125,2300,5618,59961,31632,52226,42479,25416,12390,20149,12660,14911,14309,6,27744.2,14309,-0.48425256449996756,0.003865272263645467,0,0
Q550045,QV 인버스 레버리지 S&P500 ETN,7.53,090018,7.53,2285,2285,2125,2205,2185,2175,2240,2255,2225,2230,2135,2125,2225,2,605,2,2,396,2,104,53,407,125,382,7,169.8,382,1.2497055359246172,-0.0037461436756276167,0,0
Q570045,TRUE 레버리지 천연가스 선물 ETN(H),5.56,090030,5.56,1235,1275,990,845,950,1105,1210,1330,1410,1415,1315,1115,1225,1364298,4328336,2823046,3973851,4101549,2017683,1452706,720849,962136,905371,728475,5,2264982.5,728475,-0.6783749984823282,0.007871767971967095,40,1
Q570066,TRUE 인버스 2X 베트남 VN30 선물 ETN(H),2.25,090030,2.25,27695,27850,24245,25195,26320,26190,27635,27580,27020,27000,26705,26925,27340,10026,4957,2059,33631,7115,3980,5515,5400,7682,3487,3508,2,5580.111111111111,3508,-0.371338683021047,0.00045940101893589367,155,1
Q570073,TRUE 인버스 2X 구리 선물 ETN,6.58,090015,6.58,21450,21455,19305,19135,19350,20215,21250,20990,19265,19800,20080,19910,21285,21691,19548,3696,1826,3535,1306,5938,3103,8373,3174,1207,6,3868.875,1207,-0.68802300410326,-0.0008504154582084638,5,1
Q570079,TRUE 블룸버그 인버스 2X WTI원유 선물 ETN,9.80,090014,9.8,20670,20725,20480,21080,22110,21135,21075,21550,20345,20100,19310,18635,20485,15686,20464,43915,8303,21036,10812,107276,17151,56570,30101,88820,9,24893.11111111111,88820,2.5680554191699625,-0.0005350162688620257,55,1
Q570082,TRUE 인버스 2X 코스닥 150 선물 ETN,2.42,090029,2.42,12705,12710,13190,13445,13585,13710,13870,13270,13005,12940,12350,12160,12315,421638,554061,2447142,795889,1365879,2581539,1260940,2211243,2068777,1203994,2312894,2,1491110.2,2312894,0.5511221102236441,0.002000655733317285,5,1
Q570083,TRUE 블룸버그 레버리지 천연가스 선물 ETN,6.95,090008,6.95,2155,2210,1690,1450,1600,1820,2080,2300,2430,2430,2245,1910,2130,209757,709429,459924,895119,1036997,414156,390373,372848,862731,865877,428296,6,621721.1,428296,-0.31111232994987625,0.0040864865346371595,55,1
